trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
915,False,"{'a': 0.005, 'e': 0.010254896296404022}",35,22,16.799459041046262,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
916,False,"{'a': 0.005, 'e': 0.010203749787748823}",35,12,28.59730989278936,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
917,False,"{'a': 0.005, 'e': 0.010152858373369763}",25,17,15.879203403667454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,False,"{'a': 0.005, 'e': 0.010102220780978834}",30,15,27.6909464254504,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
919,False,"{'a': 0.005, 'e': 0.010051835744633576}",20,16,7.901750002509527,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
920,False,"{'a': 0.005, 'e': 0.010001702004705479}",25,17,12.194604734026228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
921,False,"{'a': 0.005, 'e': 0.00995181830784842}",20,10,20.847099331554062,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
922,False,"{'a': 0.005, 'e': 0.009902183406967382}",25,17,12.234152140719099,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
923,False,"{'a': 0.005, 'e': 0.009852796061187257}",20,9,22.296965675846494,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
924,False,"{'a': 0.005, 'e': 0.009803655035821828}",25,18,8.367858206662818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
925,False,"{'a': 0.005, 'e': 0.009754759102342903}",35,21,26.487441868802154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
926,False,"{'a': 0.005, 'e': 0.009706107038349598}",20,5,17.778871932215083,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
927,False,"{'a': 0.005, 'e': 0.009657697627537777}",25,17,19.197448247268994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
928,False,"{'a': 0.005, 'e': 0.009609529659669642}",30,8,33.89012266459873,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
929,False,"{'a': 0.005, 'e': 0.009561601930543505}",20,6,27.85430864187952,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
930,False,"{'a': 0.005, 'e': 0.00951391324196363}",20,6,19.86727502674741,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
931,False,"{'a': 0.005, 'e': 0.009466462401710323}",20,12,10.766478960193187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
932,False,"{'a': 0.005, 'e': 0.009419248223510103}",20,10,19.24127272820373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
933,False,"{'a': 0.005, 'e': 0.009372269527006058}",25,19,9.442967395214364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
934,False,"{'a': 0.005, 'e': 0.009325525137728326}",30,20,20.048076559160783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
935,False,"{'a': 0.005, 'e': 0.009279013887064744}",20,2,24.523057451045933,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
936,False,"{'a': 0.005, 'e': 0.00923273461223161}",25,6,30.363081364578836,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
937,False,"{'a': 0.005, 'e': 0.009186686156244664}",25,14,11.861239210564143,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
938,False,"{'a': 0.005, 'e': 0.009140867367890097}",30,20,17.878712566727657,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
939,False,"{'a': 0.005, 'e': 0.009095277101695816}",25,16,15.8235141964077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
940,False,"{'a': 0.005, 'e': 0.009049914217902789}",20,3,26.084965134985165,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
941,False,"{'a': 0.005, 'e': 0.00900477758243656}",25,11,26.81201555894745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
942,False,"{'a': 0.005, 'e': 0.00895986606687889}",25,8,35.17606585385384,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
943,False,"{'a': 0.005, 'e': 0.008915178548439553}",20,14,12.637632567980322,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.005, 'e': 0.008870713909928251}",20,10,17.754052254455836,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
945,False,"{'a': 0.005, 'e': 0.008826471039726723}",20,10,17.161574328001258,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.005, 'e': 0.0087824488317609}",25,16,18.320706014785184,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.005, 'e': 0.00873864618547329}",20,12,18.737896847833934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.005, 'e': 0.008695062005795456}",25,9,29.060040322638365,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.005, 'e': 0.008651695203120634}",20,8,12.513119765554027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.005, 'e': 0.0086085446932765}",25,17,13.040670063473467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.005, 'e': 0.00856560939749806}",20,10,23.470096344362016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.005, 'e': 0.008522888242400684}",25,19,11.910118663853746,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.005, 'e': 0.00848038015995326}",20,9,15.426075077775108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
954,False,"{'a': 0.005, 'e': 0.00843808408745153}",20,2,31.835205483771077,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
955,False,"{'a': 0.005, 'e': 0.00839599896749147}",25,11,26.192467279743756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
956,False,"{'a': 0.005, 'e': 0.00835412374794289}",20,11,15.796921237776495,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.005, 'e': 0.008312457381923119}",20,14,10.628830875889147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
958,False,"{'a': 0.005, 'e': 0.008270998827770836}",20,12,13.672764625733453,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.005, 'e': 0.00822974704902003}",20,13,13.370308188791025,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.005, 'e': 0.008188701014374083}",25,8,25.57030601258309,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.005, 'e': 0.008147859697679982}",20,4,28.552855096490536,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
962,False,"{'a': 0.005, 'e': 0.008107222077902699}",25,17,13.028914419380165,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.005, 'e': 0.008066787139099614}",20,12,15.796652941870654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.005, 'e': 0.008026553870395154}",20,0,31.05502812599468,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
965,False,"{'a': 0.005, 'e': 0.007986521265955502}",20,12,18.405802210841518,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.005, 'e': 0.007946688324963464}",25,11,22.69423799864328,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.005, 'e': 0.007907054051593441}",30,15,26.21990427949223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.005, 'e': 0.007867617454986535}",20,5,24.155332170246567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.005, 'e': 0.007828377549225767}",20,13,15.035578015600182,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.005, 'e': 0.007789333353311466}",35,18,28.986435701108686,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.005, 'e': 0.007750483891136692}",30,17,23.100920033344458,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
972,False,"{'a': 0.005, 'e': 0.0077118281914628686}",20,8,23.57250174700648,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
